114-AM-001|生産年齢人口は15〜64歳の人口です。2022年は59.4％で、40％より高い割合です。|50％は実際の59.4％より低く、最も近い選択肢ではありません。就業者だけを数える指標ではありません。|2022年の生産年齢人口の割合は59.4％で、60％が最も近くなります。|70％は2022年の値より高すぎます。少子高齢化に伴い、生産年齢人口の割合は低下しています。
114-AM-012|食道は胃の入口である噴門につながります。幽門は胃から十二指腸への出口です。|食道上部約3分の1は横紋筋が中心で、下部へ向かうにつれて平滑筋になります。|食道には入口部や気管分岐部付近、横隔膜通過部など生理的に狭い部分があります。|成人の食道の長さは約25cmです。門歯から胃までの距離と食道自体の長さを混同しません。
114-AM-014|赤い便は主に下部消化管出血などでみられ、胆汁が腸へ流れないことによる便色ではありません。|胆汁色素に由来する便色が失われるため、閉塞性黄疸では黄色より灰白色になります。|黒色便は上部消化管出血や鉄剤などでみられます。閉塞性黄疸の特徴的な便色ではありません。|胆道閉塞で胆汁色素が腸管へ届かず、便の褐色成分が減少するため灰白色便になります。
114-AM-015|尺骨神経麻痺では骨間筋などが障害され、環指・小指を中心とする鷲手が代表的です。|正中神経麻痺では母指球筋の萎縮や母指対立障害による猿手が代表的です。|橈骨神経は手関節・指の伸筋を支配します。麻痺で手関節を伸ばせなくなり、下垂手を生じます。|腓骨神経麻痺では足関節の背屈が障害され、下垂足が生じます。上肢の下垂手ではありません。
114-AM-016|多尿は1日の尿量増加です。前立腺肥大症の頻尿は、必ずしも総尿量の増加を伴いません。|尿道圧迫で排尿が不十分となり残尿が増えると、新たにためられる尿量が減って頻尿になります。|膀胱炎などによる刺激でも頻尿は起こりますが、本問では前立腺肥大による排出障害と残尿を考えます。|膀胱そのものの器質的縮小が基本病態ではありません。尿道閉塞で残尿が増え、有効な蓄尿量が減ります。
114-AM-017|痛風は尿酸の代謝異常による疾患です。ケトン体陽性を特徴とする疾患ではありません。|肝硬変は肝線維化と機能障害を生じますが、尿中ケトン体陽性が代表的所見ではありません。|インスリン不足で糖利用が低下すると脂肪分解とケトン体生成が進み、尿中ケトン体が陽性になります。|ネフローゼ症候群は大量蛋白尿・低アルブミン血症などを特徴とし、ケトン体陽性とは異なります。
114-AM-018|嘔吐は消化管や嘔吐中枢への作用などで起こり、骨髄での血球産生抑制による症状ではありません。|脱毛は毛母細胞などの分裂が障害されて起こり、骨髄抑制とは区別します。|骨髄で血球をつくる細胞が障害され、白血球・赤血球・血小板が減少します。感染、貧血、出血に注意します。|神経障害は末梢神経等への毒性によるしびれなどで、骨髄抑制による血球減少とは異なります。
114-AM-019|溢流性尿失禁は尿閉や排出障害で膀胱から尿があふれる状態です。まず原因となる排出障害に対応します。|機能性尿失禁は移動能力や認知機能の低下でトイレに間に合わない状態で、環境や排泄介助を調整します。|切迫性尿失禁では強い尿意に続いて漏れ、膀胱訓練や薬物療法等を用います。本問では骨盤底支持の弱い腹圧性が最適です。|腹圧性尿失禁は咳などの腹圧上昇で尿が漏れます。骨盤底筋を鍛えて尿道の支持・閉鎖機能を改善します。
114-AM-020|重心は低くした方が安定します。膝を適度に曲げ、腰だけを曲げて負担を集中させないようにします。|両足を適度に開いて支持基底面を広くすると姿勢が安定し、移動介助などを安全に行いやすくなります。|重心線が支持基底面の外へ出るとバランスを崩します。基底面内に保つことが安定の条件です。|足底と床の摩擦が小さいと滑りやすくなります。看護師の足元は滑りにくくし、安定を確保します。
114-AM-021|湿度10％は乾燥が強く、皮膚や気道粘膜の乾燥を招きます。病室の環境として適しません。|湿度30％では乾燥しやすく、一般的な病室管理の目安より低い値です。|湿度は一般に40〜60％程度を目安に調整し、選択肢では50％が適切です。患者の状態も踏まえます。|湿度70％は高く、蒸し暑さや結露・カビの発生につながりやすくなります。
114-AM-022|消毒薬の空間噴霧は吸入曝露などの問題があり、空気感染予防の基本策ではありません。|陽圧は室内の空気を外へ押し出すため、感染源の隔離には陰圧室を用います。|N95マスクを適切に密着させ、感染性粒子の吸入を減らします。空気感染対策で用いる呼吸用防護具です。|手指消毒は標準予防策として重要ですが、空中の感染性粒子の吸入を直接防ぐ方法ではありません。
114-AM-023|点滴筒の液量が少なすぎると気泡が入りやすくなります。一般に3分の1〜2分の1程度とし製品の指示に従います。|刺入部は発赤・腫脹・漏れなどを観察できるよう透明な被覆材等で固定します。|関節付近を避けることで、屈曲による滴下不良や抜去、日常動作の妨げを減らせます。|30cmでは自然滴下に必要な落差が不足しやすくなります。通常はより十分な高さを確保し滴下状況を確認します。
114-AM-024|関節拘縮の予防には関節可動域運動や良肢位保持などを行います。体位ドレナージの主目的ではありません。|疼痛軽減には原因評価や安楽な体位、鎮痛等を用います。体位ドレナージは分泌物の排出を目的とします。|睡眠導入は主目的ではありません。体位ドレナージは気道内の痰を移動させるケアです。|重力を利用して末梢気道の分泌物を中枢へ移動させ、咳などで痰を排出しやすくします。
114-AM-025|ドパミンは循環補助などに使いますが、心静止の標準的な蘇生薬はアドレナリンです。|アトロピンは症候性徐脈などで用い、心静止へのルーチン投与薬ではありません。|リドカインは難治性の心室細動・無脈性心室頻拍などで考慮する抗不整脈薬で、心静止の基本薬ではありません。|心静止では質の高い胸骨圧迫とともにアドレナリンを投与し、冠灌流圧などの確保を図ります。
114-AM-026|ニコチン性アセチルコリン受容体は陽イオンチャネルで、塩化物イオンを流入させる受容体ではありません。|カリウムも通過できますが、濃度勾配から主に細胞外へ出ます。脱分極を起こす流入はナトリウムが中心です。|筋収縮に必要なカルシウムは主に筋小胞体から放出されます。本問の終板脱分極の主要な流入イオンとは異なります。|受容体が開くとナトリウムが筋細胞内へ流入し、終板電位が生じて筋の活動電位につながります。
114-AM-027|アドレナリンは交感神経活動やストレスに伴って増加し、起床時に最大となる代表的な日内変動の答えではありません。|コルチゾールは早朝から起床時に高く、夜間に低くなる日内変動を示します。|成長ホルモンは入眠後の深い睡眠に伴って分泌が増え、起床時が代表的なピークではありません。|メラトニンは暗くなる夜間に増え、朝の光で分泌が抑えられます。起床時に最高となるものではありません。
114-AM-028|胸管は左静脈角付近へ注ぎます。動脈へリンパ液を戻すわけではありません。|右頸リンパ本幹は通常右リンパ本幹側へ流れます。胸管は主に身体の左上部と下半身のリンパを集めます。|胸管はリンパ本幹に続く太いリンパ管で、組織内の毛細リンパ管網そのものではありません。|胸管は腹部の乳び槽から始まり、胸腔を上行してリンパ液を左静脈角へ戻します。
114-AM-029|嚥下時に喉頭が挙上し、周囲の組織に連なる甲状腺も上下に動きます。|肝臓の上下運動は主に呼吸時の横隔膜運動に伴うもので、嚥下反射の特徴ではありません。|嚥下時には声門を閉じて気道を保護します。開放すると食物が気道へ入りやすくなります。|舌根沈下は意識低下などで気道を塞ぐ状態です。正常な嚥下では舌で食塊を後方へ送り込みます。
