114-PM-031|受容はさまざまな危機・悲嘆理論に現れる語ですが、フィンクの最終段階名ではありません。|フィンクの危機モデルは衝撃、防御的退行、承認、適応と進み、最終段階は適応です。|問題解決は危機への対処の過程ですが、フィンクの4段階の最終段階の名称ではありません。|ラポールは相互の信頼関係を表し、危機モデルの段階名ではありません。
114-PM-042|チューブ径や粘度・衛生管理などの条件を満たし、医療者の指導のもとでミキサー食を注入できます。|瘻孔が安定していれば通常は洗浄と乾燥による清潔保持を行い、注入ごとの消毒は不要です。|交換時期はカテーテルの種類や製品で異なり、週1回の一律交換ではありません。|逆流・誤嚥を防ぐため一般に30〜45度程度の上体挙上を行います。15度では不足しやすくなります。
114-PM-043|社会福祉協議会は経済支援等の相談に役立ちますが、育児と健康を含む継続支援の窓口は保健センターが適切です。|保健師等が母子の健康・育児不安を総合的に把握し、経済支援や福祉など必要な機関とつなげられます。|当事者交流は支えになりますが、強い育児不安と生活問題にはまず公的な専門相談をつなぎます。|病院相談室も支援できますが、地域で継続的に母子を支える相談先として保健センターを優先します。
114-PM-044|交通の確保は生活に重要ですが、地域包括ケアシステムの五つの基本構成要素の名称ではありません。|雇用は社会参加等に関係しますが、五つの基本構成要素として挙げられるものではありません。|情報共有は連携を支えますが、構成要素としての答えは住まいです。|地域包括ケアは住まいを基盤として医療・介護・予防・生活支援を一体的に提供します。
114-PM-046|買う物を忘れるのは記憶障害を示す行動です。|運動麻痺等では説明できないのに、慣れた道具を目的どおりに使う動作ができないのは失行です。|献立に応じた計画を立てて買えない行動は遂行機能障害を示唆します。|道に迷うのは地誌的な見当識や空間認知の障害等で、道具を使う失行とは区別します。
114-PM-047|放射線による脱毛は照射部位に生じます。乳房照射だけで頭髪の脱毛を説明しません。|嚥下障害は咽頭・食道等への照射で問題となり、通常の乳房照射の代表的影響ではありません。|毎回同じ位置へ照射するため皮膚に印を付けます。こすって消さないよう、施設の指示に従います。|外部照射後の患者から放射線が出続けることはなく、同居家族への被曝を心配する必要はありません。
114-PM-048|過呼吸は換気量増加で、臨死期に特徴的な周期的無呼吸の説明ではありません。|奇異呼吸は胸腹部が逆向きに動くなどの異常で、フレイルチェスト等でみられます。|クスマウル呼吸は代謝性アシドーシスに対する深く大きい呼吸です。|呼吸が徐々に深くなった後に浅くなり無呼吸を挟む周期を繰り返し、臨死期にもみられます。
114-PM-049|検査前は誤嚥等を避けるため絶食の指示があります。施設の前処置に従います。|通常は仰臥位などで穿刺部を確保し、うつぶせが標準ではありません。|呼吸で肝臓が動くため、穿刺時は指示に合わせ息を止め、臓器損傷や出血の危険を減らします。|検査後は出血予防と観察のため安静を保ちます。直後から歩行させません。
114-PM-050|アルブミンは栄養・肝機能等の評価に用いますが、急な上腹部から背部痛の原因評価として優先度は低いです。|心筋障害を疑う場合は重要ですが、飲酒中の上腹部から背部の激痛と嘔吐では急性膵炎がまず疑われます。|高トリグリセリド血症は膵炎の原因となりますが、まず膵障害を示す酵素の確認を優先します。|急性膵炎を疑う症状で、膵酵素リパーゼの上昇が診断に有用です。他の所見と合わせ評価します。
114-PM-051|加齢性難聴は主に内耳等の障害による感音性難聴です。|鼓膜に孔が開くと音の振動が中耳へ伝わりにくくなり、伝音性難聴を生じます。|内耳から中枢側の障害は感音性難聴です。伝音性は外耳・中耳の音伝達障害です。|アミノグリコシド系抗菌薬は内耳障害を起こし、感音性難聴の原因になります。
114-PM-052|眼底検査では網膜・視神経乳頭・血管等を観察します。角膜が主な観察対象ではありません。|非侵襲的な眼底検査後に抗菌薬を一律に点眼する必要はありません。|視力低下やまぶしさに配慮して誘導しますが、両眼を閉じたまま歩かせるのは転倒の危険があります。|散瞳薬は点眼後おおむね20〜30分で効果が現れます。検査後もまぶしさや近見困難が続くことを説明します。
114-PM-053|梅毒を予防する実用ワクチンはありません。感染予防行動、検査、早期治療が重要です。|再感染や感染拡大を防ぐため、パートナーにも検査や必要な治療を勧めます。|梅毒トレポネーマという細菌による感染症で、ウイルスではありません。|第2期には体幹などに淡い赤色の発疹であるばら疹を認めることがあります。自然に消えても治癒とは限りません。
114-PM-054|自己決定を支える説明で、エンパワメント等に関わります。ストレングスでは本人の強みを明示的に活用します。|健康生活の活動を支えるのはセルフケア支援の説明で、強みへの着目が明確ではありません。|障害や欠点だけでなく本人の能力・経験・資源に着目し、課題解決に活かすのがストレングスモデルです。|特定行動をうまく遂行できるという自信は自己効力感で、ストレングスとは関連しても同義ではありません。
114-PM-056|義歯の情報も鎮静等では確認しますが、大腸内視鏡の鎮痙薬使用に関わる前立腺肥大の確認が優先です。|抗コリン薬で注意するのは主に閉塞隅角緑内障です。白内障と混同しません。|姿勢保持の困難も調整が必要ですが、鎮痙薬の禁忌・注意に関わる既往を先に確認します。|検査で使う抗コリン性鎮痙薬は排尿障害を悪化させる場合があり、前立腺肥大症・尿閉の既往を確認します。
114-PM-057|排泄方法の練習は有用でも、肺切除後に特に危険な呼吸器合併症の予防を優先します。|術前訪問の説明は必要ですが、術後の安全に直結する呼吸訓練の優先度が高くなります。|高齢者は排痰力が低下しやすく、肺切除後の無気肺・肺炎予防のため、術前から深呼吸と排痰を練習します。|四肢運動は血栓予防等に役立ちますが、肺切除術では呼吸・排痰訓練を優先して説明します。
114-PM-058|初めての場所でも自分で余裕を持って行けるよう、トイレの位置と経路を一緒に確認します。|移動困難の情報がなく、一律の車椅子移送は本人の能力を活かす援助になりません。|失禁の記載はなく、頻尿だけでオムツを勧めるのは早急です。|更衣が困難との情報はありません。必要な介助を評価し、自立を維持します。
114-PM-059|採血には痛みがあり、痛くないと約束すると信頼を損ないます。年齢に合う正確な説明をします。|すぐという曖昧な約束だけでは理解や不安の確認ができません。感じることを具体的に伝えます。|説明後に疑問や不安を表せる機会をつくり、理解を確認して安心できる対処を一緒に考えます。|病気になると脅す説明は恐怖を強めます。採血の目的を責めずに伝えます。
114-PM-060|感覚運動期は乳児が感覚や行動を通じ学ぶ時期で、言葉で病因を説明する段階ではありません。|公式正答は前操作期です。ただし体外の物が体内に入る病因理解は、文献では具体的操作期にも位置付けられ、この表現を前操作期に限定する根拠は一部不明です。|具体的操作期には外部と体内を区別した感染・内在化の理解が示されます。本選択肢を単純に誤りとする説明には疑義が残ります。|形式的操作期では抽象的・仮説的な思考ができ、感染の仕組みをより複雑に理解できます。
