id,exam,year,session,number,dataset_status,question_type,category,subcategory,topic,classification_confidence,classification_status,case_id,case_text,preceding_context_ids,question,choices,correct_answers,accepted_answer_sets,correct_answer_value,special_status,requires_image,excluded,exclusion_reason,needs_review,review_reasons,question_url,question_pages,answer_url,answer_page
115-AM-017,115,2026,AM,17,adopted,必修問題,疾病の成り立ちと回復の促進,薬理,免疫抑制作用,,classified_unofficial,,,[],免疫抑制作用があるのはどれか。,"[""抗ヒスタミン薬"", ""インターフェロン"", ""ヒト免疫グロブリン"", ""副腎皮質ステロイド""]",[4],[[4]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[11],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-018,115,2026,AM,18,adopted,必修問題,基礎看護学,食事援助,誤嚥予防,,classified_unofficial,,,[],誤嚥のリスクがある患者の食事援助で適切なのはどれか。,"[""きざみ食を選ぶ。"", ""粘り気の強い食品を選ぶ。"", ""食事中は頸部前屈位をとる。"", ""食後は速やかに仰臥位をとる。""]",[3],[[3]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[12],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-019,115,2026,AM,19,adopted,必修問題,看護の統合と実践,医療安全,情報伝達のエラー予防,,classified_unofficial,,,[],医療者間のコミュニケーションのエラーを防ぐために適切なのはどれか。,"[""薬剤の単位は省略する。"", ""与薬の指示は口頭で行う。"", ""伝えられた情報の内容を復唱し確認し合う。"", ""伝えられた情報の不明点に関する質問は控える。""]",[3],[[3]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[12],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-020,115,2026,AM,20,adopted,必修問題,基礎看護学,感染予防,接触感染予防策,,classified_unofficial,,,[],接触感染予防策として使用するのはどれか。,"[""陰圧室"", ""ガウン"", ""ゴーグル"", ""N 95 マスク""]",[2],[[2]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[12],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-021,115,2026,AM,21,adopted,必修問題,基礎看護学,診療に伴う援助,採血時の神経損傷予防,,classified_unofficial,,,[],"静脈血採血で針を刺入した直後に、患者にしびれがないかを確認する目的はどれ
か。","[""感染症の予防"", ""神経損傷の予防"", ""皮下血腫の予防"", ""血管迷走神経反応の予防""]",[2],[[2]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[12],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-022,115,2026,AM,22,excluded_image,必修問題,基礎看護学,呼吸を整える援助,酸素投与器具,,classified_unofficial,,,[],"酸素投与器具を図に示す。
最も高濃度の酸素を吸入できるのはどれか。",[],[4],[[4]],,,true,true,図・画像等の視覚情報が必要,true,"[""選択肢の抽出を要確認"", ""正答番号が選択肢範囲外""]",https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[13],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-023,115,2026,AM,23,adopted,必修問題,基礎看護学,創傷・固定,包帯固定後の観察,,classified_unofficial,,,[],包帯法で前腕部を固定した場合の観察項目で適切なのはどれか。,"[""悪寒の有無"", ""末梢冷感の有無"", ""全身倦怠感の有無"", ""上腕動脈の触知の有無""]",[2],[[2]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[13],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-024,115,2026,AM,24,adopted,必修問題,疾病の成り立ちと回復の促進,薬理,強オピオイド鎮痛薬,,classified_unofficial,,,[],がん性疼痛に使用する強オピオイド鎮痛薬はどれか。,"[""コデイン"", ""モルヒネ"", ""カルバマゼピン"", ""ロキソプロフェン"", ""アセトアミノフェン""]",[2],[[2]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[14],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-025,115,2026,AM,25,adopted,必修問題,人体の構造と機能,神経,対光反射,,classified_unofficial,,,[],対光反射に関与するのはどれか。,"[""動眼神経"", ""滑車神経"", ""三叉神経"", ""外転神経"", ""顔面神経""]",[1],[[1]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[14],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-026,115,2026,AM,26,adopted,一般問題,人体の構造と機能,運動器,骨格筋の収縮,,classified_unofficial,,,[],骨格筋の収縮で正しいのはどれか。,"[""アクチンが ATP を消費する。"", ""細胞外カルシウムイオンが必要である。"", ""筋収縮の結果、グリコゲンが蓄積される。"", ""ミオシンフィラメントの長さは変化しない。""]",[4],[[4]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[14],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-027,115,2026,AM,27,adopted,一般問題,人体の構造と機能,神経,痛覚の伝導,,classified_unofficial,,,[],痛みの伝導で正しいのはどれか。,"[""一次ニューロンは運動ニューロンよりも伝導速度が速い。"", ""刺激を受けた側と同側の脊髄を上行する。"", ""延髄で次の神経細胞とシナプスを作る。"", ""視床で次の神経細胞とシナプスを作る。""]",[4],[[4]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[14],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-028,115,2026,AM,28,adopted,一般問題,人体の構造と機能,腎・泌尿器,蓄尿反射,,classified_unofficial,,,[],膀胱壁の蓄尿反射を引き起こす刺激はどれか。,"[""圧 迫"", ""痛 み"", ""温 度"", ""伸 展""]",[4],[[4]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[15],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-029,115,2026,AM,29,adopted,一般問題,疾病の成り立ちと回復の促進,循環器,肺血栓塞栓症の検査,,classified_unofficial,,,[],"肺血栓塞栓症の確定診断に用いるのはどれか。
pulmonary thromboembolism","[""D ダイマー"", ""ヘモグロビン"", ""プロトロンビン時間〈PT〉"", ""活性化部分トロンボプラスチン時間〈APTT〉""]",[1],[[1]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[15],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-030,115,2026,AM,30,adopted,一般問題,健康支援と社会保障制度,医療保険,医療保険制度,,classified_unofficial,,,[],令和 3 年（2021 年）の日本の医療保険制度で正しいのはどれか。,"[""先進医療は保険診療が適用される。"", ""自己負担の割合は一律で 3 割である。"", ""国民健康保険加入者は 75 歳以上である。"", ""被用者保険加入者は人口の約 6 割である。""]",[4],[[4]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[15],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-031,115,2026,AM,31,pending_review,一般問題,健康支援と社会保障制度,保健医療福祉法規,法律と支援内容,,classified_unofficial,,,[],法律とその内容の組合せで正しいのはどれか。,"[""児童福祉法 医療的ケア児が在籍する学校への看護師\nの配置"", ""母子保健法 経済的に困窮した妊産婦の助産施設入所"", ""アルコール健康障害 20 歳未満の飲酒の禁止\n対策基本法"", ""障害者虐待の防止、 市町村への通報義務\n障害者の養護者に対する\n支援等に関する法律\n〈障害者虐待防止法〉""]",[4],[[4]],,,false,false,,true,"[""組合せ選択肢の段組み・対応線の表示を要確認""]",https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[16],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-032,115,2026,AM,32,withheld_special,一般問題,健康支援と社会保障制度,環境保健,廃棄物の処理,,classified_unofficial,,,[],廃棄物とその処理に関する記述で正しいのはどれか。,"[""産業廃棄物は都道府県の責任で処理される。"", ""在宅医療に伴う廃棄物は医療廃棄物として取り扱う。"", ""事業活動に伴って生じる廃棄物は全て産業廃棄物として取り扱う。"", ""使用済みの注射針は、専用廃棄容器を用いれば一般廃棄物とすることができ\nる。""]",[],[],,採点除外,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[16],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-033,115,2026,AM,33,adopted,一般問題,基礎看護学,患者教育,行動変容と自己効力感,,classified_unofficial,,,[],"禁酒を指導されている患者が「禁酒できたらもっと健康的な生活になるね。自分
は我慢強いところがあるからやれると思う」と話し、 3 週間禁酒を続けている。
患者の行動変容を促したのはどれか。","[""自己洞察"", ""自己効力感"", ""自己中心性"", ""自己同一性""]",[2],[[2]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[16],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-034,115,2026,AM,34,excluded_image,一般問題,人体の構造と機能,運動器,股関節の運動,,classified_unofficial,,,[],"臥床して右股関節と右膝関節を 90 度屈曲位にした図を A に示す。
A の状態から右下肢を矢印の方向に動かして B の状態になった。
このときの股関節の運動はどれか。","[""外 旋"", ""外 転"", ""内 旋"", ""内 転""]",[3],[[3]],,,true,true,図・画像等の視覚情報が必要,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[17],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-035,115,2026,AM,35,adopted,一般問題,基礎看護学,体位・移動,ファウラー位の保持,,classified_unofficial,,,[],Fowler〈 ファウラー〉位で膝窩に枕を挿入する理由で正しいのはどれか。,"[""頸部の前屈を防ぐ。"", ""上半身のずれを防ぐ。"", ""脊柱の生理的弯曲を保つ。"", ""尖足を防ぐ。""]",[2],[[2]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[17],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-036,115,2026,AM,36,adopted,一般問題,基礎看護学,フィジカルアセスメント,腹部の打診,,classified_unofficial,,,[],腹部の打診で観察するのはどれか。,"[""鼓 音"", ""反跳痛"", ""筋性防御"", ""腫瘤の硬さ""]",[1],[[1]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[18],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-037,115,2026,AM,37,adopted,一般問題,疾病の成り立ちと回復の促進,腎・泌尿器,尿比重の低下,,classified_unofficial,,,[],尿比重が低くなるのはどれか。,"[""糖尿病\ndiabetes mellitus"", ""尿崩症\ndiabetes insipidus"", ""水欠乏性脱水"", ""ネフローゼ症候群\nnephrotic syndrome""]",[2],[[2]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[18],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-038,115,2026,AM,38,adopted,一般問題,基礎看護学,休息・睡眠,発達段階と睡眠,,classified_unofficial,,,[],睡眠の特徴で正しいのはどれか。,"[""新生児の睡眠は単相性である。"", ""乳児の 1 日の総睡眠量は 7 時間前後である。"", ""成人期では一晩で睡眠周期を 10 回程度繰り返す。"", ""老年期では早朝覚醒が起こりやすい。""]",[4],[[4]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[18],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-039,115,2026,AM,39,adopted,一般問題,基礎看護学,清潔援助,口腔ケアのブラッシング法,,classified_unofficial,,,[],歯ブラシを用いたブラッシングで歯周ポケットの清掃に適しているのはどれか。,"[""バス法"", ""フォーンズ法"", ""ローリング法"", ""スクラビング法""]",[1],[[1]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[18],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-040,115,2026,AM,40,adopted,一般問題,基礎看護学,衣生活援助,点滴中の寝衣交換,,classified_unofficial,,,[],"右腕に点滴静脈内注射をしている成人患者の寝衣（パジャマ）の交換について正し
いのはどれか。","[""寝衣（パジャマ）は右袖から脱がせる。"", ""右袖を脱ぐ際に、点滴ボトルはベッド上に置く。"", ""清潔な寝衣（パジャマ）は左袖から着せる。"", ""清潔な寝衣（パジャマ）の右袖には、先に点滴ボトルを通してから腕を通す。""]",[4],[[4]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[19],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-041,115,2026,AM,41,adopted,一般問題,基礎看護学,救急処置,直接圧迫止血,,classified_unofficial,,,[],頭部の切創からの出血で選択する止血法はどれか。,"[""止血帯法"", ""タンポン法"", ""間接圧迫止血法"", ""直接圧迫止血法""]",[4],[[4]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[19],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-042,115,2026,AM,42,adopted,一般問題,地域・在宅看護論,ケアマネジメント,サービス担当者会議,,classified_unofficial,,,[],在宅療養中の高齢者のケアマネジメントで正しいのはどれか。,"[""サービス提供は専門職の判断を優先する。"", ""高齢者本人はサービス担当者会議の構成員である。"", ""インフォーマルサービスはサービス計画に入らない。"", ""地域包括支援センターが施設サービス計画を作成する。""]",[2],[[2]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[19],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-043,115,2026,AM,43,adopted,一般問題,地域・在宅看護論,訪問看護制度,訪問看護指示書,,classified_unofficial,,,[],訪問看護指示書について正しいのはどれか。,"[""訪問看護開始後に発行される。"", ""使用中の医療機器が記載される。"", ""訪問看護指示期間は最大 5 か月である。"", ""訪問看護ステーションの管理者が交付できる。""]",[2],[[2]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[19],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-044,115,2026,AM,44,adopted,一般問題,地域・在宅看護論,生活機能の評価,手段的日常生活動作,,classified_unofficial,,,[],"訪問看護師が利用者の手段的日常生活動作〈IADL〉を確認するための質問で正し
いのはどれか。","[""「自分で洗濯ができますか」"", ""「着替えは 1 人でできますか」"", ""「ご飯は自分で食べられますか」"", ""「 1 人でお風呂に入ることができますか」""]",[1],[[1]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[20],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
115-AM-045,115,2026,AM,45,adopted,一般問題,地域・在宅看護論,在宅療養支援,ストーマ保有者の外出支援,,classified_unofficial,,,[],"A さん（80 歳、男性）は人工肛門造設術を受けて自宅に退院した。ストーマ管理
のため、訪問看護を週に 1 回利用している。A さんは電車で隣県に住んでいる孫
に会いに行きたいと希望している。
A さんの外出に向けた目標で最も適切なのはどれか。","[""食物繊維を避けた食事が摂れる。"", ""装具が剝がれた場合に対処できる。"", ""起こりやすい皮膚障害が理解できる。"", ""装具交換に必要な物品の購入先がわかる。""]",[2],[[2]],,,false,false,,false,[],https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/topics/dl/tp260424-05a_01.pdf,[20],https://www.mhlw.go.jp/general/sikaku/successlist/2026/siken03_04_05/dl/seitou_kangoshi.pdf,1
