id	category	subcategory	topic
115-AM-041	基礎看護学	救急処置	直接圧迫止血
115-AM-042	地域・在宅看護論	ケアマネジメント	サービス担当者会議
115-AM-043	地域・在宅看護論	訪問看護制度	訪問看護指示書
115-AM-044	地域・在宅看護論	生活機能の評価	手段的日常生活動作
115-AM-045	地域・在宅看護論	在宅療養支援	ストーマ保有者の外出支援
115-AM-046	基礎看護学	体位・移動	ノーリフトケア
115-AM-047	健康支援と社会保障制度	産業保健	職業性健康障害
115-AM-048	成人看護学	意思決定支援	代理意思決定
115-AM-049	成人看護学	慢性期看護	アドヒアランス
115-AM-050	疾病の成り立ちと回復の促進	運動器	廃用症候群
115-AM-051	成人看護学	呼吸器	COPD患者の酸素療法
115-AM-052	基礎看護学	診療に伴う援助	MRI検査前の確認
115-AM-053	疾病の成り立ちと回復の促進	体液・電解質	電解質異常の症候
115-AM-054	成人看護学	運動器	腓骨神経麻痺の観察
115-AM-055	疾病の成り立ちと回復の促進	運動器	骨折の直達牽引
115-AM-056	老年看護学	家族支援	介護家族の発達課題
115-AM-057	健康支援と社会保障制度	介護保険	介護保険制度
115-AM-058	老年看護学	日常生活援助	片麻痺高齢者の排泄支援
115-AM-059	看護の統合と実践	災害看護	避難高齢者の生活不活発への援助
115-AM-060	小児看護学	成長・発達	乳児の消化器機能
115-AM-061	小児看護学	成長・発達	基本的生活習慣の獲得
115-AM-062	人体の構造と機能	内分泌	ホルモンの働き
115-AM-063	小児看護学	検査・処置	乳児の採尿用具
115-AM-064	健康支援と社会保障制度	人口・保健統計	母子保健の死亡率
115-AM-065	母性看護学	分娩期	分娩第1期の援助
115-AM-066	母性看護学	産褥期	母乳栄養の生活指導
115-AM-067	精神看護学	ストレス・対処	情動焦点型コーピング
115-AM-068	看護の統合と実践	災害看護	生存者の罪悪感への援助
115-AM-069	精神看護学	精神療法	集団精神療法の普遍性
115-AM-070	看護の統合と実践	看護管理	複数患者への対応優先順位
115-AM-071	看護の統合と実践	看護管理	交代勤務と健康管理
115-AM-072	健康支援と社会保障制度	災害関連法規	災害救助法
115-AM-073	看護の統合と実践	国際・多文化看護	宗教的習慣への配慮
115-AM-074	人体の構造と機能	内分泌	細胞内ホルモン受容体
115-AM-075	人体の構造と機能	体液	体液の区分
115-AM-076	人体の構造と機能	腎・泌尿器	バソプレシンの作用部位
115-AM-077	疾病の成り立ちと回復の促進	運動器	腰部脊柱管狭窄症
115-AM-078	疾病の成り立ちと回復の促進	生殖器	子宮頸癌の組織
115-AM-079	健康支援と社会保障制度	地域保健	市町村保健センター
115-AM-080	老年看護学	生活機能の評価	ICFの活動
115-AM-081	小児看護学	救急・アレルギー	アナフィラキシーの初期処置
115-AM-082	成人看護学	終末期看護	死の受容過程
115-AM-083	人体の構造と機能	代謝	異化と同化
115-AM-084	疾病の成り立ちと回復の促進	感染・微生物	ダニが関与する疾患
115-AM-085	疾病の成り立ちと回復の促進	薬理	薬剤の剤形
115-AM-086	健康支援と社会保障制度	成人保健	特定健康診査・特定保健指導
115-AM-087	看護の統合と実践	医療安全	タイムアウト
115-AM-088	人体の構造と機能	感覚器	老視の原因
115-AM-089	母性看護学	妊娠期	常位胎盤早期剝離のリスク因子
115-AM-090	基礎看護学	与薬・輸液	輸液滴下数の計算
115-AM-091	地域・在宅看護論	連携・退院支援	地域連携クリニカルパス
115-AM-092	地域・在宅看護論	在宅療養支援	感染性胃腸炎への訪問対応
115-AM-093	地域・在宅看護論	家族支援	失語症者とのコミュニケーション
115-AM-094	成人看護学	周術期看護	食道癌術後合併症の予測
115-AM-095	成人看護学	周術期看護	離床時のドレーン管理
115-AM-096	成人看護学	消化器	食道切除後の食事指導
115-AM-097	成人看護学	腎・泌尿器	腎機能低下時のアセスメント
115-AM-098	成人看護学	腎・泌尿器	腹膜透析の説明
115-AM-099	成人看護学	腎・泌尿器	腹膜透析患者の食事指導
115-AM-100	老年看護学	認知症看護	Lewy小体型認知症の症状
115-AM-101	老年看護学	日常生活援助	入浴時の転倒予防
115-AM-102	老年看護学	介護予防	通所リハビリテーション
115-AM-103	小児看護学	呼吸器	喘息発作の重症度評価
115-AM-104	小児看護学	呼吸器	喘息発作後の看護
115-AM-105	小児看護学	呼吸器	喘息の学校生活指導
115-AM-106	小児看護学	障害児支援	脳性麻痺児の食事援助
115-AM-107	小児看護学	家族支援	きょうだい支援と訪問看護
115-AM-108	地域・在宅看護論	障害児支援	療育サービスへの連携
115-AM-109	母性看護学	妊娠期	妊婦の体重増加の評価
115-AM-110	母性看護学	妊娠期	両親学級と仲間づくり
115-AM-111	母性看護学	産褥期	産褥早期のアセスメント
115-AM-112	母性看護学	妊娠期	つわりの食事指導
115-AM-113	母性看護学	妊娠期	妊娠による身体変化
115-AM-114	母性看護学	産褥期	産後の性生活指導
115-AM-115	精神看護学	摂食障害	過食嘔吐時の身体評価
115-AM-116	精神看護学	摂食障害	食行動のセルフモニタリング
115-AM-117	精神看護学	摂食障害	家族への心理教育
115-AM-118	看護の統合と実践	災害看護	災害時の多職種協働
115-AM-119	看護の統合と実践	災害看護	救護所の準備
115-AM-120	看護の統合と実践	災害看護	外傷患者の優先対応
115-PM-001	健康支援と社会保障制度	人口・保健統計	有訴者の症状
115-PM-002	健康支援と社会保障制度	介護保険	要介護認定
115-PM-003	健康支援と社会保障制度	介護保険	利用者の自己負担
115-PM-004	基礎看護学	看護倫理	インフォームド・コンセント
115-PM-005	健康支援と社会保障制度	看護関連法規	都道府県ナースセンター
115-PM-006	人体の構造と機能	循環器	胎児循環と卵円孔
115-PM-007	小児看護学	成長・発達	頸定の時期
115-PM-008	人体の構造と機能	加齢	壮年期の身体変化
115-PM-009	老年看護学	加齢と認知機能	結晶性知能
115-PM-010	看護の統合と実践	チーム医療	目標の共有
115-PM-011	人体の構造と機能	神経	摂食中枢
115-PM-012	人体の構造と機能	神経	頸神経の数
115-PM-013	人体の構造と機能	神経	感覚性言語中枢
115-PM-014	疾病の成り立ちと回復の促進	循環器	心房細動
115-PM-015	疾病の成り立ちと回復の促進	腎・泌尿器	乏尿の定義
115-PM-016	疾病の成り立ちと回復の促進	腎・泌尿器	糸球体濾過機能の検査
115-PM-017	疾病の成り立ちと回復の促進	代謝	痛風の血液検査
115-PM-018	基礎看護学	コミュニケーション	閉じた質問
115-PM-019	基礎看護学	看護過程	情報の分析
115-PM-020	基礎看護学	フィジカルアセスメント	呼吸パターン
115-PM-021	基礎看護学	与薬・輸液	筋肉内注射部位
115-PM-022	基礎看護学	呼吸を整える援助	口腔内吸引
115-PM-023	基礎看護学	救急処置	舌根沈下の予防
115-PM-024	基礎看護学	フィジカルアセスメント	徒手筋力テスト
115-PM-025	基礎看護学	救急処置	けいれん発作時の初期対応
115-PM-026	人体の構造と機能	感覚器	聴覚の周波数特性
115-PM-027	人体の構造と機能	感覚器	味覚の受容
115-PM-028	疾病の成り立ちと回復の促進	血液・免疫	ABO式血液型検査
115-PM-029	疾病の成り立ちと回復の促進	腫瘍	EBウイルス関連腫瘍
115-PM-030	疾病の成り立ちと回復の促進	神経	単純ヘルペス脳炎
115-PM-031	健康支援と社会保障制度	医療提供体制	医療施設の基準
115-PM-032	健康支援と社会保障制度	医療提供体制	救急医療体制
115-PM-033	基礎看護学	看護過程	クリティカルシンキング
115-PM-034	看護の統合と実践	チーム医療	自助具選択と作業療法士
115-PM-035	基礎看護学	コミュニケーション	筆談の適応
115-PM-036	基礎看護学	看護過程	看護目標の設定
115-PM-037	基礎看護学	安楽の援助	漸進的筋弛緩法
115-PM-038	基礎看護学	呼吸を整える援助	口すぼめ呼吸
115-PM-039	基礎看護学	フィジカルアセスメント	口腔内体温測定
115-PM-040	基礎看護学	救急処置	心停止の判断
115-PM-041	基礎看護学	診療に伴う援助	超音波検査の準備
115-PM-042	地域・在宅看護論	障害児支援	医療的ケア児の支援対象
115-PM-043	地域・在宅看護論	在宅療養支援	服薬の自己管理
115-PM-044	地域・在宅看護論	訪問看護制度	ステーションの管理運営
115-PM-045	地域・在宅看護論	在宅緩和ケア	医療用麻薬の使用指導
115-PM-046	疾病の成り立ちと回復の促進	薬理	有機リン中毒の治療薬
115-PM-047	地域・在宅看護論	家族支援	レスパイトケア
115-PM-048	成人看護学	循環器	狭心症発作時の硝酸薬指導
115-PM-049	疾病の成り立ちと回復の促進	消化器	肝動脈塞栓術の適応
115-PM-050	疾病の成り立ちと回復の促進	免疫・膠原病	多発性筋炎の症状
115-PM-051	成人看護学	感覚器	眼底光凝固療法
115-PM-052	疾病の成り立ちと回復の促進	感覚器	Ménière病
115-PM-053	成人看護学	腎・泌尿器	膀胱癌患者の緊急症状
115-PM-054	疾病の成り立ちと回復の促進	生殖器	乳房超音波検査
115-PM-055	老年看護学	認知機能の評価	MMSE
115-PM-056	老年看護学	皮膚	老人性皮膚搔痒症
115-PM-057	老年看護学	加齢と認知機能	加齢によるもの忘れ
115-PM-058	老年看護学	日常生活援助	高齢者の睡眠支援
115-PM-059	老年看護学	認知症看護	入浴拒否への対応
115-PM-060	小児看護学	成長・発達	乳児の呼吸器構造
115-PM-061	小児看護学	感染症	学校感染症の出席停止
115-PM-062	小児看護学	検査・処置	骨髄穿刺
115-PM-063	健康支援と社会保障制度	労働関連法規	育児・介護休業法
115-PM-064	母性看護学	生殖医療	一般不妊治療
115-PM-065	母性看護学	妊娠期	経産道感染
115-PM-066	母性看護学	産褥期	うっ滞性乳腺炎
115-PM-067	母性看護学	産褥期	子宮復古への援助
115-PM-068	精神看護学	精神保健医療福祉制度	入院形態と権利
115-PM-069	精神看護学	地域生活支援	ピアサポート
115-PM-070	看護の統合と実践	看護管理	看護サービスの構造評価
115-PM-071	看護の統合と実践	看護管理	看護手順とケア水準
115-PM-072	看護の統合と実践	医療安全	与薬事故防止
115-PM-073	看護の統合と実践	災害看護	亜急性期の精神的ケア
115-PM-074	健康支援と社会保障制度	母子保健制度	外国籍妊婦への制度説明
115-PM-075	人体の構造と機能	細胞・組織	多核細胞
115-PM-076	人体の構造と機能	循環器	心周期と血液の拍出
115-PM-077	人体の構造と機能	生殖器	精子形成と減数分裂
115-PM-078	疾病の成り立ちと回復の促進	循環器	上大静脈症候群
115-PM-079	疾病の成り立ちと回復の促進	組織修復	創傷治癒過程
115-PM-080	疾病の成り立ちと回復の促進	腎・泌尿器	急性腎不全の症状
115-PM-081	精神看護学	地域生活支援	地域移行支援
115-PM-082	疾病の成り立ちと回復の促進	循環器	下肢静脈瘤の危険因子
115-PM-083	疾病の成り立ちと回復の促進	消化器	痔瘻の病態と治療
115-PM-084	疾病の成り立ちと回復の促進	消化器	急性膵炎の病態と検査
115-PM-085	地域・在宅看護論	地域包括ケア	地域包括ケアシステム
115-PM-086	健康支援と社会保障制度	社会福祉	民生委員
115-PM-087	老年看護学	加齢と身体機能	泌尿器系の変化
115-PM-088	小児看護学	成長・発達	幼児期の身体機能
115-PM-089	精神看護学	産業精神保健	二次予防
115-PM-090	精神看護学	リエゾン精神看護	専門看護師の役割
115-PM-091	地域・在宅看護論	在宅療養支援	心不全療養者の外出援助
115-PM-092	地域・在宅看護論	家族支援	高齢介護者の負担評価
115-PM-093	地域・在宅看護論	災害への備え	在宅療養者の避難準備
115-PM-094	成人看護学	消化器	便潜血陽性者の精密検査
115-PM-095	成人看護学	周術期看護	腹腔鏡下結腸切除術
115-PM-096	成人看護学	消化器	結腸切除後の退院指導
115-PM-097	成人看護学	内分泌・代謝	甲状腺アイソトープ検査の準備
115-PM-098	成人看護学	内分泌・代謝	抗甲状腺薬の有害事象の指導
115-PM-099	成人看護学	内分泌・代謝	Basedow病患者の生活支援
115-PM-100	老年看護学	脳・神経	半側空間無視の観察
115-PM-101	老年看護学	リハビリテーション	回復過程の心理的支援
115-PM-102	老年看護学	日常生活援助	退院後の転倒予防
115-PM-103	老年看護学	終末期看護	本人の意思の確認
115-PM-104	老年看護学	終末期看護	看取り期の家族支援
115-PM-105	老年看護学	終末期看護	臨死期の環境調整
115-PM-106	小児看護学	運動器	骨折術後の合併症観察
115-PM-107	小児看護学	日常生活援助	利き腕固定時の自立支援
115-PM-108	小児看護学	検査・処置	手術へのプレパレーション
115-PM-109	母性看護学	分娩期	分娩進行のアセスメント
115-PM-110	母性看護学	新生児期	新生児の生理的変化
115-PM-111	母性看護学	新生児期	高ビリルビン血症の光線療法
115-PM-112	精神看護学	自傷・自殺への対応	自傷患者への声かけ
115-PM-113	精神看護学	パーソナリティ障害	看護チームの一貫した対応
115-PM-114	精神看護学	トラウマへの対応	感情の言語化の支援
115-PM-115	精神看護学	不安症	予期不安の評価
115-PM-116	精神看護学	不安症	パニック発作への対処支援
115-PM-117	精神看護学	休息・睡眠	睡眠衛生の指導
115-PM-118	看護の統合と実践	災害看護	停電時のICU患者対応
115-PM-119	看護の統合と実践	災害看護	被災者の心理・生活評価
115-PM-120	看護の統合と実践	災害看護	避難所での興奮への対応
